"survey" "transect" "frame" "framex" "px" "py" "x1" "y1" "x2" "y2" "n" "altitude" "newle"
"1" 1 1 1 "frame1.jpg" 324 112 314 100 333 123 1 2.21594 7.35
"2" 1 1 1 "frame1.jpg" 248 16 239 4 254 24 1 2.21594 6.07
"3" 1 1 10 "frame10.jpg" 183 268 175 260 191 278 1 2.21594 6.16
"4" 1 1 11 "frame11.jpg" 390 573 390 588 392 560 1 2.131 7.41
"5" 1 1 13 "frame13.jpg" 465 392 459 375 470 402 1 2.131 7.4
"6" 1 1 15 "frame15.jpg" 518 444 526 459 511 434 1 2.131 7.52
"7" 1 1 15 "frame15.jpg" 553 242 568 244 540 244 1 2.10761 6.82
"8" 1 1 15 "frame15.jpg" 149 248 146 262 151 235 1 2.10761 6.71
"9" 1 1 16 "frame16.jpg" 347 163 346 176 349 153 1 2.10761 5.59
"10" 1 1 16 "frame16.jpg" 314 394 312 408 312 381 1 2.10761 6.8
"11" 1 1 19 "frame19.jpg" 598 313 590 328 605 307 1 2.07438 6.2
"12" 1 1 19 "frame19.jpg" 350 384 359 397 340 374 1 2.07438 7.32
"13" 1 1 19 "frame19.jpg" 287 286 275 282 300 292 1 1.95654 6.17
"14" 1 1 2 "frame2.jpg" 350 310 354 324 342 294 1 1.95654 7.35
"15" 1 1 2 "frame2.jpg" 400 415 396 428 404 404 1 1.95654 5.98
"16" 1 1 2 "frame2.jpg" 578 295 594 294 566 294 1 1.95654 6.39
"17" 1 1 22 "frame22.jpg" 417 436 416 450 418 423 1 1.9848 6.5
"18" 1 1 22 "frame22.jpg" 186 556 183 574 190 546 1 1.99925 7.16
"19" 1 1 22 "frame22.jpg" 616 426 608 437 620 412 1 1.99925 6.56
"20" 1 1 23 "frame23.jpg" 472 374 459 380 484 370 1 2.02517 6.41
"21" 1 1 23 "frame23.jpg" 536 67 526 56 542 78 1 2.02517 6.22
"22" 1 1 23 "frame23.jpg" 208 477 206 459 212 490 1 2.13773 8.1
"23" 1 1 23 "frame23.jpg" 509 435 509 421 508 448 1 2.13773 6.95
"24" 1 1 24 "frame24.jpg" 292 522 291 536 294 512 1 2.13773 6.4
"25" 1 1 24 "frame24.jpg" 672 448 684 456 660 440 1 2.17569 7.59
"26" 1 1 3 "frame3.jpg" 359 312 355 327 361 301 1 2.17569 6.79
"27" 1 1 3 "frame3.jpg" 418 68 418 52 419 80 1 2.17569 6.7
"28" 1 1 4 "frame4.jpg" 180 159 162 158 194 164 1 2.17569 8.02
