"frame" "survey" "transect" "y" "file" "timestamp" "time" "altitude" "depth" "heading" "lat" "lon" "pitch" "roll" "surge" "brightness" "exposure" "gain" "gamma" "shutter" "white_bu" "white_rv" "alt"
"1" 1 1 1 3 "frame000140_0.jpg" 1321533069.41804 "2011111712:31:09.418" 2.21594 34.6769 317.336 6505.3748 2245.4632 -3.6969 -0.730591 1.274 0 0.624512 25.9161 1 0.0105028 90 80 2.2
"2" 2 1 1 3 "frame000143_0.jpg" 1321533071.07794 "2011111712:31:11.077" 2.131 34.7525 317.116 6505.3754 2245.4647 -1.00525 -1.97205 1.283 0 0.584961 25.9161 1 0.0105028 90 80 2.1
"3" 3 1 1 4 "frame000146_0.jpg" 1321533072.35797 "2011111712:31:12.357" 2.10761 34.7685 316.957 6505.3763 2245.4666 -1.62598 -0.994263 1.253 0 0.539185 25.9161 1 0.0105028 90 80 2.1
"4" 4 1 1 2 "frame000149_0.jpg" 1321533073.62795 "2011111712:31:13.627" 2.07438 34.7893 316.897 6505.3769 2245.468 -1.00525 -2.64221 1.276 0 0.486511 25.9161 1 0.0105028 90 80 2.1
"5" 5 1 1 4 "frame000152_0.jpg" 1321533074.89791 "2011111712:31:14.897" 1.95654 34.7806 316.27 6505.3776 2245.4695 -0.494385 -1.2854 1.273 0 0.453979 25.9161 1 0.0105028 90 80 2
"6" 6 1 1 1 "frame000155_0.jpg" 1321533076.17801 "2011111712:31:16.178" 1.9848 34.7553 316.584 6505.3782 2245.4709 -0.219727 -1.06018 1.289 0 0.497192 25.9161 1 0.0105028 90 80 2
"7" 7 1 1 2 "frame000158_0.jpg" 1321533077.858 "2011111712:31:17.857" 1.99925 34.6822 315.985 6505.379 2245.4728 -0.494385 -2.13135 1.296 0 0.375061 25.9161 1 0.0105028 90 80 2
"8" 8 1 1 2 "frame000161_0.jpg" 1321533079.16999 "2011111712:31:19.169" 2.02517 34.6347 315.847 6505.3797 2245.4744 -0.85144 -1.7688 1.296 0 0.437439 25.9161 1 0.0105028 90 80 2
"9" 9 1 1 3 "frame000164_0.jpg" 1321533080.4481 "2011111712:31:20.448" 2.13773 34.6112 316.023 6505.3803 2245.4758 -0.269165 -2.05994 1.297 0 0.464905 25.9161 1 0.0105028 90 80 2.1
"10" 10 1 1 4 "frame000167_0.jpg" 1321533082.09804 "2011111712:31:22.098" 2.17569 34.5808 315.99 6505.3811 2245.4778 -1.79626 -2.09839 1.274 0 0.544312 25.9161 1 0.0105028 90 80 2.2
"11" 11 1 1 2 "frame000170_0.jpg" 1321533083.37801 "2011111712:31:23.378" 2.16675 34.6007 316.012 6505.3818 2245.4793 -2.15881 -1.82922 1.302 0 0.599915 25.9161 1 0.0105028 90 80 2.2
"12" 12 1 1 1 "frame000173_0.jpg" 1321533084.65811 "2011111712:31:24.658" 2.15865 34.6192 316.084 6505.3824 2245.4808 -1.31287 -1.56006 1.269 0 0.619629 25.9161 1 0.0105028 90 80 2.2
"13" 13 1 1 2 "frame000176_0.jpg" 1321533086.33801 "2011111712:31:26.338" 2.03946 34.6141 316.16 6505.383 2245.4823 -2.35657 -1.50513 1.298 0 0.691162 25.9161 1 0.0105028 90 80 2
"14" 14 1 1 4 "frame000179_0.jpg" 1321533087.61802 "2011111712:31:27.618" 1.9565 34.6206 315.677 6505.3838 2245.4842 0.247192 -1.64246 1.288 0 0.624512 25.9161 1 0.0105028 90 80 2
"15" 15 1 1 5 "frame000182_0.jpg" 1321533088.89803 "2011111712:31:28.898" 1.98197 34.5499 316.084 6505.3845 2245.4857 0.697632 -1.88965 1.312 0 0.609802 25.9161 1 0.0105028 90 80 2
"16" 16 1 1 3 "frame000185_0.jpg" 1321533090.158 "2011111712:31:30.158" 1.96146 34.4997 316.045 6505.3851 2245.4872 -1.4447 -2.33459 1.28 0 0.599915 25.9161 1 0.0105028 90 80 2
"17" 17 1 1 10 "frame000188_0.jpg" 1321533091.47801 "2011111712:31:31.478" 1.95636 34.4891 315.792 6505.3858 2245.4888 0.357056 -1.73584 1.269 0 0.539185 25.9161 1 0.0105028 90 80 2
"18" 18 1 1 3 "frame000191_0.jpg" 1321533093.13804 "2011111712:31:33.138" 1.98425 34.4074 316.314 6505.3866 2245.4908 -0.280151 -2.18079 1.293 0 0.507812 25.9161 1 0.0105028 90 80 2
"19" 19 1 1 5 "frame000194_0.jpg" 1321533094.40803 "2011111712:31:34.408" 1.99754 34.3765 315.787 6505.3872 2245.4922 -0.615234 -1.52161 1.268 0 0.52356 25.9161 1 0.0105028 90 80 2
"20" 20 1 1 1 "frame000197_0.jpg" 1321533096.05825 "2011111712:31:36.058" 2.11168 34.3426 316.221 6505.3878 2245.4937 -0.115356 -2.09839 1.274 0 0.437439 25.9161 1 0.0105028 90 80 2.1
"21" 21 1 1 1 "frame000200_0.jpg" 1321533097.34803 "2011111712:31:37.348" 2.13316 34.2965 316.089 6505.3886 2245.4956 -2.13135 -2.77954 1.296 0 0.464905 25.9161 1 0.0105028 90 80 2.1
"22" 22 1 1 3 "frame000203_0.jpg" 1321533098.62804 "2011111712:31:38.628" 2.08803 34.2902 315.902 6505.3893 2245.4971 -1.54907 -1.21399 1.249 0 0.594971 25.9161 1 0.0105028 90 80 2.1
"23" 23 1 1 5 "frame000206_0.jpg" 1321533099.89811 "2011111712:31:39.898" 2.08479 34.2668 315.842 6505.3899 2245.4986 -1.2854 -1.89514 1.298 0 0.569885 25.9161 1 0.0105028 90 80 2.1
"24" 24 1 1 4 "frame000209_0.jpg" 1321533101.56803 "2011111712:31:41.568" 2.04486 34.2525 316.089 6505.3907 2245.5006 -1.08215 -3.11462 1.293 0 0.459473 25.9161 1 0.0105028 90 80 2
"25" 25 1 1 1 "frame000212_0.jpg" 1321533102.84793 "2011111712:31:42.847" 2.026 34.2307 315.897 6505.3913 2245.502 -0.670166 -1.21399 1.322 0 0.533997 25.9161 1 0.0105028 90 80 2
"26" 1 1 2 3 "frame000280_0.jpg" 1321533413.28798 "2011111712:36:53.287" 2.23533 29.6153 132.571 6505.491 2245.6497 -3.6145 -3.03223 1.284 0 0.594971 25.9161 1 0.0105028 90 78 2.2
"27" 2 1 2 2 "frame000285_0.jpg" 1321533415.40824 "2011111712:36:55.408" 2.19776 29.6916 132.648 6505.49 2245.6472 -1.98303 -1.62598 1.268 0 0.629395 25.9161 1 0.0105028 90 78 2.2
"28" 3 1 2 4 "frame000288_0.jpg" 1321533417.08799 "2011111712:36:57.087" 2.16332 29.7201 132.544 6505.4891 2245.6453 -2.46643 -2.70264 1.273 0 0.718811 25.9161 1 0.0105028 90 78 2.2
"29" 4 1 2 3 "frame000303_0.jpg" 1321533423.84809 "2011111712:37:03.848" 1.97803 29.6888 132.467 6505.4859 2245.6375 -2.07092 -3.48816 1.275 0 0.745972 25.9161 1 0.0105028 90 78 2
"30" 5 1 2 4 "frame000306_0.jpg" 1321533425.12 "2011111712:37:05.120" 1.95416 29.6982 132.489 6505.4852 2245.636 1.1261 -1.33484 1.268 0 0.714233 25.9161 1 0.0105028 90 78 2
"31" 6 1 2 3 "frame000324_0.jpg" 1321533433.5582 "2011111712:37:13.558" 1.97605 29.4675 132.769 6505.4811 2245.6264 0.774536 -1.42822 1.276 0 0.759338 25.9161 1 0.0105028 90 78 2
"32" 7 1 2 2 "frame000333_0.jpg" 1321533437.76801 "2011111712:37:17.768" 1.97967 29.3306 132.703 6505.4791 2245.6215 -0.598755 -2.4884 1.301 0 0.807373 25.9161 1 0.0105028 90 78 2
"33" 8 1 2 4 "frame000336_0.jpg" 1321533439.03812 "2011111712:37:19.038" 1.98219 29.2926 132.39 6505.4785 2245.62 -0.32959 -1.6864 1.298 0 0.781372 25.9161 1 0.0105028 90 78 2
"34" 9 1 2 5 "frame000348_0.jpg" 1321533444.51803 "2011111712:37:24.518" 1.98308 29.1037 132.939 6505.4758 2245.6135 -0.148315 -0.675659 1.29 0 0.781372 25.9161 1 0.0105028 90 78 2
