"frame" "x" "y" "x1" "y1" "x2" "y2" "alt" "class" "le"
"1" "frame003791_0_small.jpg" 523 73 512 66 532 79 1.91 1 4.81092392839016
"2" "frame003791_0_small.jpg" 599 78 587 87 607 71 1.91 1 5.023449587709
"3" "frame003791_0_small.jpg" 635 247 645 255 625 241 1.91 1 5.11162775061793
"4" "frame003791_0_small.jpg" 599 260 587 254 605 266 1.91 1 4.52775314088185
"5" "frame003791_0_small.jpg" 584 409 575 418 592 399 1.91 1 5.3030416001578
"6" "frame003791_0_small.jpg" 626 421 637 426 615 415 1.91 1 5.27493940656712
"7" "frame004497_0_medium2.jpg" 190 291 193 305 186 278 1.88 2 5.65883752181789
"8" "frame004497_0_medium2.jpg" 175 343 174 357 175 330 1.88 2 5.59043740238916
"9" "frame004497_0_medium2.jpg" 133 411 139 426 130 400 1.88 2 5.72969314499896
"10" "frame004497_0_medium2.jpg" 140 345 158 342 130 350 1.95 3 6.29021689259274
"11" "frame004497_0_medium.jpg" 586 148 598 151 572 149 1.95 3 5.42212675521311
"12" "frame004497_0_medium.jpg" 563 80 573 69 556 90 1.95 3 5.39486291707905
"13" "frame004497_0_medium.jpg" 542 137 548 150 538 126 1.95 3 5.35361406787908
"14" "frame004497_0_medium.jpg" 682 180 667 183 693 177 1.95 3 5.48570433925935
"15" "frame004497_0_medium.jpg" 650 105 657 116 643 93 1.95 3 5.56495600194866
"16" "frame004497_0_medium.jpg" 509 175 510 187 502 162 1.95 4 5.4315049236966
"17" "frame003863_0_big.jpg" 431 437 415 445 442 429 1.95 4 6.75286117752128
"18" "frame003863_0_big.jpg" 451 428 445 412 455 441 1.95 4 6.73873251679001
"19" "frame003863_0_big.jpg" 487 428 477 440 495 417 1.95 4 6.28313920278519
