"index" "group" "le"
"1" 1 1 4.5
"2" 2 1 4.6
"3" 3 1 5.1
"4" 4 1 5.2
"5" 5 1 5.3
"6" 6 1 5.3
"7" 7 1 5.3
"8" 8 1 5.3
"9" 9 1 5.3
"10" 10 1 5.3
"11" 11 1 5.4
"12" 12 1 5.4
"13" 13 1 5.4
"14" 14 1 5.4
"15" 15 1 5.5
"16" 16 1 5.5
"17" 17 1 5.5
"18" 18 1 5.5
"19" 19 2 5.6
"20" 20 2 5.6
"21" 21 2 5.6
"22" 22 2 5.6
"23" 23 2 5.6
"24" 24 2 5.6
"25" 25 2 5.6
"26" 26 2 5.6
"27" 27 2 5.6
"28" 28 2 5.6
"29" 29 2 5.6
"30" 30 2 5.6
"31" 31 2 5.6
"32" 32 2 5.7
"33" 33 2 5.7
"34" 34 2 5.7
"35" 35 2 5.7
"36" 36 2 5.7
"37" 37 2 5.7
"38" 38 2 5.7
"39" 39 2 5.7
"40" 40 2 5.7
"41" 41 2 5.7
"42" 42 2 5.7
"43" 43 2 5.7
"44" 44 2 5.7
"45" 45 2 5.8
"46" 46 2 5.8
"47" 47 2 5.8
"48" 48 2 5.8
"49" 49 2 5.8
"50" 50 2 5.8
"51" 51 2 5.8
"52" 52 2 5.9
"53" 53 2 5.9
"54" 54 2 5.9
"55" 55 2 5.9
"56" 56 2 5.9
"57" 57 2 5.9
"58" 58 2 5.9
"59" 59 2 5.9
"60" 60 2 5.9
"61" 61 2 5.9
"62" 62 2 5.9
"63" 63 2 5.9
"64" 64 2 5.9
"65" 65 2 6
"66" 66 2 6
"67" 67 2 6
"68" 68 2 6
"69" 69 2 6
"70" 70 2 6
"71" 71 3 6.1
"72" 72 3 6.1
"73" 73 3 6.1
"74" 74 3 6.1
"75" 75 3 6.1
"76" 76 3 6.1
"77" 77 3 6.2
"78" 78 3 6.2
"79" 79 3 6.2
"80" 80 3 6.2
"81" 81 3 6.2
"82" 82 3 6.2
"83" 83 3 6.2
"84" 84 3 6.2
"85" 85 3 6.2
"86" 86 3 6.2
"87" 87 3 6.3
"88" 88 3 6.3
"89" 89 3 6.3
"90" 90 3 6.3
"91" 91 3 6.3
"92" 92 3 6.3
"93" 93 3 6.3
"94" 94 3 6.3
"95" 95 3 6.4
"96" 96 3 6.4
"97" 97 3 6.4
"98" 98 3 6.4
"99" 99 4 6.6
"100" 100 4 6.6
"101" 101 4 6.6
"102" 102 4 6.6
"103" 103 4 6.6
"104" 104 4 6.7
"105" 105 4 6.8
"106" 106 4 6.8
