"x" "le"
"1" 1.5
"2" 2
"3" 2.2
"4" 3.9
"5" 4.8
"6" 5.2
"7" 5.5
"8" 6.3
"9" 6.3
"10" 6.4
"11" 6.4
"12" 6.5
"13" 6.6
"14" 6.6
"15" 6.6
"16" 6.7
"17" 6.7
"18" 6.7
"19" 6.7
"20" 6.7
"21" 6.8
"22" 6.8
"23" 6.8
"24" 6.9
"25" 6.9
"26" 6.9
"27" 6.9
"28" 6.9
"29" 6.9
"30" 6.9
"31" 6.9
"32" 7
"33" 7
"34" 7
"35" 7
"36" 7
"37" 7
"38" 7
"39" 7
"40" 7.1
"41" 7.1
"42" 7.1
"43" 7.1
"44" 7.1
"45" 7.1
"46" 7.1
"47" 7.1
"48" 7.2
"49" 7.2
"50" 7.2
"51" 7.2
"52" 7.2
"53" 7.2
"54" 7.2
"55" 7.2
"56" 7.2
"57" 7.3
"58" 7.3
"59" 7.3
"60" 7.3
"61" 7.3
"62" 7.3
"63" 7.3
"64" 7.4
"65" 7.4
"66" 7.4
"67" 7.4
"68" 7.4
"69" 7.4
"70" 7.4
"71" 7.4
"72" 7.4
"73" 7.4
"74" 7.5
"75" 7.5
"76" 7.5
"77" 7.5
"78" 7.5
"79" 7.6
"80" 7.6
"81" 7.6
"82" 7.6
"83" 7.6
"84" 7.6
"85" 7.6
"86" 7.6
"87" 7.6
"88" 7.6
"89" 7.6
"90" 7.6
"91" 7.7
"92" 7.7
"93" 7.7
"94" 7.7
"95" 7.7
"96" 7.7
"97" 7.8
"98" 7.8
"99" 7.8
"100" 7.8
"101" 7.9
"102" 7.9
"103" 7.9
"104" 7.9
"105" 7.9
"106" 8
"107" 8
"108" 8
"109" 8
"110" 8
"111" 8.1
"112" 8.1
